Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт,Опорный кадр,Текущая секунда
0,1712879409.670197,1920,1080,60,h264,875722.2773542319,True,3.409738540649414
1,1712879409.6752121,1920,1080,60,h264,1609414.3680484826,False,3.710646629333496
2,1712879409.677768,1920,1080,60,h264,2318312.0833014334,True,3.863997459411621
3,1712879409.6804469,1920,1080,60,h264,2967636.7868462303,False,4.0247297286987305
4,1712879409.683918,1920,1080,60,h264,3527032.2293685875,True,4.232997894287109
5,1712879409.68842,1920,1080,60,h264,3978552.3204716784,False,4.503121376037598
6,1712879409.6935282,1920,1080,60,h264,4345860.6196587905,True,4.809608459472656
7,1712879409.696502,1920,1080,60,h264,4789033.450108263,False,4.988036155700684
8,1712879409.6994402,1920,1080,60,h264,5203742.511406514,True,5.164332389831543
9,1712879409.705128,1920,1080,60,h264,5423544.390054798,False,5.5055952072143555
10,1712879409.708649,1920,1080,60,h264,5745437.775885616,True,5.716853141784668
11,1712879409.711968,1920,1080,60,h264,6056768.160759072,False,5.915994644165039
12,1712879409.714738,1920,1080,60,h264,6382204.869542966,True,6.082191467285156
13,1712879409.71758,1920,1080,60,h264,6685691.6158161685,False,6.25272274017334
14,1712879409.7230048,1920,1080,60,h264,6808809.739662933,True,6.578207015991211
15,1712879409.727386,1920,1080,60,h264,6983657.453525321,False,6.84107780456543
16,1712879409.730138,1920,1080,60,h264,7245256.396291314,True,7.00620174407959
17,1712879409.73349,1920,1080,60,h264,7457381.0715974495,False,7.207317352294922
18,1712879409.736404,1920,1080,60,h264,7685249.105951749,True,7.38215446472168
19,1712879409.739767,1920,1080,60,h264,7874490.172160647,False,7.583942413330078
20,1712879409.742477,1920,1080,60,h264,8094673.2031156635,True,7.74653434753418
21,1712879409.749104,1920,1080,60,h264,8066105.468091998,False,8.144159317016602
22,1712879409.75487,1920,1080,60,h264,8089129.3432352375,True,8.490114212036133
23,1712879409.7669451,1920,1080,60,h264,7777160.026724252,False,9.214625358581543
24,1712879409.776789,1920,1080,60,h264,7613223.774964001,True,9.805254936218262
25,1712879409.8008032,1920,1080,60,h264,6903328.42579831,False,11.246109008789062
26,1712879409.819626,1920,1080,60,h264,6514619.644242749,True,12.375483512878418
27,1712879409.83377,1920,1080,60,h264,6322352.724747818,False,13.224120140075684
28,1712879409.848691,1920,1080,60,h264,6132957.223573276,True,14.119377136230469
29,1712879409.864241,1920,1080,60,h264,5951190.005263072,False,15.05237102508545
30,1712879409.88015,1920,1080,60,h264,5782841.9371058075,True,16.006922721862793
31,1712879409.891209,1920,1080,60,h264,5731787.763785098,False,16.670451164245605
