Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек)
0,1.0000019073486328,1920,1080,60,h264,174665.4580078125
1,1.000004768371582,1920,1080,60,h264,383026.26171875
2,1.0027079582214355,1920,1080,60,h264,359640.5576171875
3,1.0033700466156006,1920,1080,60,h264,364499.087890625
4,1.007566213607788,1920,1080,60,h264,370575.4306640625
5,1.0001449584960938,1920,1080,60,h264,364963.080078125
6,1.0000011920928955,1920,1080,60,h264,362453.1025390625
7,1.0048809051513672,1920,1080,60,h264,366083.8173828125
8,1.0000889301300049,1920,1080,60,h264,365018.60546875
9,1.0119800567626953,1920,1080,60,h264,370062.0615234375
10,1.001013994216919,1920,1080,60,h264,364488.7158203125
11,1.0038819313049316,1920,1080,60,h264,364499.9931640625
12,1.0000050067901611,1920,1080,60,h264,366086.287109375
13,1.0000030994415283,1920,1080,60,h264,342372.908203125
14,1.0000050067901611,1920,1080,60,h264,387345.8388671875
15,1.0000009536743164,1920,1080,60,h264,368114.2939453125
16,1.0053460597991943,1920,1080,60,h264,358580.2490234375
17,1.0114481449127197,1920,1080,60,h264,370575.453125
18,1.0000038146972656,1920,1080,60,h264,367908.4970703125
19,1.0105218887329102,1920,1080,60,h264,367165.9560546875
20,1.0006392002105713,1920,1080,60,h264,364500.556640625
21,1.000519037246704,1920,1080,60,h264,364499.958984375
22,1.0000019073486328,1920,1080,60,h264,369651.5126953125
23,1.000251293182373,1920,1080,60,h264,269566.3994140625
24,1.0040359497070312,1920,1080,60,h264,454281.810546875
25,1.000002145767212,1920,1080,60,h264,368779.251953125
26,1.0002617835998535,1920,1080,60,h264,360220.509765625
27,1.0000059604644775,1920,1080,60,h264,368427.08203125
28,1.000002145767212,1920,1080,60,h264,336422.8896484375
29,1.0000009536743164,1920,1080,60,h264,391691.439453125
30,1.0000007152557373,1920,1080,60,h264,366173.36328125
31,1.014242172241211,1920,1080,60,h264,365871.5205078125
32,1.000002145767212,1920,1080,60,h264,368794.0947265625
33,1.0000019073486328,1920,1080,60,h264,360299.712890625
34,1.0000438690185547,1920,1080,60,h264,366583.912109375
35,1.0000011920928955,1920,1080,60,h264,367752.4140625
36,1.0000030994415283,1920,1080,60,h264,362740.5615234375
37,1.0000011920928955,1920,1080,60,h264,366422.47265625
38,1.019981861114502,1920,1080,60,h264,364971.359375
39,1.0000088214874268,1920,1080,60,h264,367029.1767578125
40,1.0099427700042725,1920,1080,60,h264,368045.23828125
41,1.0000009536743164,1920,1080,60,h264,313700.9423828125
42,1.0001249313354492,1920,1080,60,h264,415298.9326171875
43,1.0000007152557373,1920,1080,60,h264,365706.6875
44,1.0000169277191162,1920,1080,60,h264,365738.3798828125
45,1.0109810829162598,1920,1080,60,h264,362055.3779296875
46,1.0046370029449463,1920,1080,60,h264,370574.552734375
47,1.0000009536743164,1920,1080,60,h264,370312.041015625
48,1.0002880096435547,1920,1080,60,h264,358688.396484375
49,1.0148451328277588,1920,1080,60,h264,370585.7431640625
50,1.0002191066741943,1920,1080,60,h264,364494.8818359375
51,1.0000641345977783,1920,1080,60,h264,364494.3837890625
52,1.0000197887420654,1920,1080,60,h264,366114.052734375
53,1.0000011920928955,1920,1080,60,h264,360354.7412109375
54,1.0261142253875732,1920,1080,60,h264,367036.857421875
