Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Продолжительность видео
0,1.2329471111297607,854,480,25.0,h264,4.4892578125,0.0
1,0.08654499053955078,854,480,25.0,h264,4741.9619140625,0.04
2,0.044497013092041016,854,480,25.0,h264,5216.53515625,0.08
3,0.06036496162414551,854,480,25.0,h264,8055.5576171875,0.12
4,0.07567191123962402,854,480,25.0,h264,2401.875,0.16
5,0.04370689392089844,854,480,25.0,h264,1200.9375,0.2
6,0.04981708526611328,854,480,25.0,h264,1200.9375,0.24
7,0.06964826583862305,854,480,25.0,h264,2401.875,0.28
8,0.04232192039489746,854,480,25.0,h264,1200.9375,0.32
9,0.07603287696838379,854,480,25.0,h264,2401.8740234375,0.36
10,0.05273723602294922,854,480,25.0,h264,1200.939453125,0.4
11,0.07372379302978516,854,480,25.0,h264,2401.875,0.44
12,0.07507896423339844,854,480,25.0,h264,2401.875,0.48
13,0.045411109924316406,854,480,25.0,h264,1200.9375,0.52
14,0.07450389862060547,854,480,25.0,h264,2401.875,0.56
15,0.04685091972351074,854,480,25.0,h264,1200.9375,0.6
16,0.07683610916137695,854,480,25.0,h264,2401.875,0.64
17,0.07301616668701172,854,480,25.0,h264,2401.875,0.68
18,0.041296958923339844,854,480,25.0,h264,1200.9375,0.72
19,0.04057478904724121,854,480,25.0,h264,1200.9375,0.76
20,0.04450726509094238,854,480,25.0,h264,1200.9375,0.8
21,0.04258108139038086,854,480,25.0,h264,1200.9375,0.84
22,0.08342576026916504,854,480,25.0,h264,2401.875,0.88
23,0.07312917709350586,854,480,25.0,h264,2401.875,0.92
24,0.04954695701599121,854,480,25.0,h264,1200.9375,0.96
25,0.06452584266662598,854,480,25.0,h264,2401.875,1.0
26,0.041047096252441406,854,480,25.0,h264,1200.9375,1.04
27,0.040001869201660156,854,480,25.0,h264,1210.9150390625,1.08
28,0.04766225814819336,854,480,25.0,h264,1190.9599609375,1.12
29,0.0782918930053711,854,480,25.0,h264,2401.875,1.16
30,0.08077597618103027,854,480,25.0,h264,2401.875,1.2
31,0.07503390312194824,854,480,25.0,h264,2401.875,1.24
32,0.04417610168457031,854,480,25.0,h264,1200.9375,1.28
33,0.07288694381713867,854,480,25.0,h264,2401.875,1.32
34,0.04159808158874512,854,480,25.0,h264,1200.9375,1.36
35,0.05138874053955078,854,480,25.0,h264,1200.9375,1.4
36,0.06766414642333984,854,480,25.0,h264,2401.875,1.44
37,0.0428309440612793,854,480,25.0,h264,1200.9375,1.48
38,0.04274296760559082,854,480,25.0,h264,1200.9375,1.52
39,0.04108715057373047,854,480,25.0,h264,1200.9375,1.56
40,0.0805809497833252,854,480,25.0,h264,2401.875,1.6
41,0.07907414436340332,854,480,25.0,h264,2401.875,1.64
42,0.04034996032714844,854,480,25.0,h264,1200.9375,1.68
43,0.053854942321777344,854,480,25.0,h264,1200.9375,1.72
44,0.06638598442077637,854,480,25.0,h264,2401.875,1.76
45,0.04250001907348633,854,480,25.0,h264,1200.9375,1.8
46,0.07159090042114258,854,480,25.0,h264,2401.875,1.84
47,0.04865312576293945,854,480,25.0,h264,1200.9375,1.88
48,0.07059407234191895,854,480,25.0,h264,2401.875,1.92
49,0.04447674751281738,854,480,25.0,h264,1200.9375,1.96
50,0.052068233489990234,854,480,25.0,h264,1200.9375,2.0
51,0.06990694999694824,854,480,25.0,h264,2401.875,2.04
52,0.07470893859863281,854,480,25.0,h264,2401.875,2.08
53,0.0444638729095459,854,480,25.0,h264,1200.9375,2.12
54,0.07537198066711426,854,480,25.0,h264,2401.875,2.16
55,0.044341087341308594,854,480,25.0,h264,1200.9375,2.2
56,0.04339194297790527,854,480,25.0,h264,1200.9375,2.24
57,0.07240819931030273,854,480,25.0,h264,2401.875,2.28
58,0.0425257682800293,854,480,25.0,h264,1200.9375,2.32
59,0.044791221618652344,854,480,25.0,h264,1200.9375,2.36
60,0.040007829666137695,854,480,25.0,h264,1319.9453125,2.4
61,0.04246807098388672,854,480,25.0,h264,1081.9296875,2.44
62,0.08269214630126953,854,480,25.0,h264,2401.875,2.48
63,0.06649589538574219,854,480,25.0,h264,2401.875,2.52
64,0.052191972732543945,854,480,25.0,h264,1200.9375,2.56
65,0.0753638744354248,854,480,25.0,h264,2401.875,2.6
66,0.11448812484741211,854,480,25.0,h264,2401.875,2.64
67,0.04004502296447754,854,480,25.0,h264,2942.96484375,2.68
68,0.05753183364868164,854,480,25.0,h264,659.8349609375,2.72
69,0.07187938690185547,854,480,25.0,h264,2401.875,2.76
70,0.07088279724121094,854,480,25.0,h264,2401.875,2.8
71,0.09033012390136719,854,480,25.0,h264,2401.875,2.84
72,0.0759286880493164,854,480,25.0,h264,2401.875,2.88
73,0.04631614685058594,854,480,25.0,h264,1201.373046875,2.92
74,0.06739592552185059,854,480,25.0,h264,2401.875,2.96
75,0.0410618782043457,854,480,25.0,h264,1200.9375,3.0
76,0.05571627616882324,854,480,25.0,h264,1200.9375,3.04
77,0.06696701049804688,854,480,25.0,h264,2401.875,3.08
78,0.043454885482788086,854,480,25.0,h264,1200.9375,3.12
79,0.0736689567565918,854,480,25.0,h264,2401.875,3.16
80,0.07903718948364258,854,480,25.0,h264,2401.875,3.2
81,0.0434417724609375,854,480,25.0,h264,1200.9375,3.24
82,0.04300117492675781,854,480,25.0,h264,1200.9375,3.28
83,0.07264590263366699,854,480,25.0,h264,2401.875,3.32
84,0.042797088623046875,854,480,25.0,h264,1200.9375,3.36
85,0.041964054107666016,854,480,25.0,h264,1200.9375,3.4
86,0.07574892044067383,854,480,25.0,h264,2401.875,3.44
87,0.04222822189331055,854,480,25.0,h264,1200.9375,3.48
88,0.04062676429748535,854,480,25.0,h264,1200.9375,3.52
89,0.04300403594970703,854,480,25.0,h264,1200.9375,3.56
90,0.08567285537719727,854,480,25.0,h264,2401.875,3.6
91,0.06600117683410645,854,480,25.0,h264,2401.875,3.64
92,0.06330990791320801,854,480,25.0,h264,1200.9375,3.68
93,0.06626391410827637,854,480,25.0,h264,2401.875,3.72
94,0.07590913772583008,854,480,25.0,h264,2401.875,3.76
95,0.04335904121398926,854,480,25.0,h264,1200.9375,3.8
96,0.0861518383026123,854,480,25.0,h264,2401.875,3.84
97,0.06658101081848145,854,480,25.0,h264,2401.875,3.88
98,0.04557013511657715,854,480,25.0,h264,1200.9375,3.92
99,0.0758810043334961,854,480,25.0,h264,2401.875,3.96
100,0.043077945709228516,854,480,25.0,h264,1200.9375,4.0
101,0.04258084297180176,854,480,25.0,h264,1200.9375,4.04
102,0.07761096954345703,854,480,25.0,h264,2401.875,4.08
103,0.041831254959106445,854,480,25.0,h264,1200.9375,4.12
104,0.07082796096801758,854,480,25.0,h264,2401.875,4.16
105,0.04544401168823242,854,480,25.0,h264,1200.9375,4.2
106,0.04260897636413574,854,480,25.0,h264,1200.9375,4.24
107,0.0742490291595459,854,480,25.0,h264,2401.875,4.28
108,0.04893183708190918,854,480,25.0,h264,1200.9375,4.32
109,0.07710504531860352,854,480,25.0,h264,2401.875,4.36
110,0.04207801818847656,854,480,25.0,h264,1200.9375,4.4
111,0.04357314109802246,854,480,25.0,h264,1200.9375,4.44
112,0.07477903366088867,854,480,25.0,h264,2401.875,4.48
113,0.07853078842163086,854,480,25.0,h264,2401.875,4.52
114,0.07601308822631836,854,480,25.0,h264,2401.875,4.56
115,0.04241299629211426,854,480,25.0,h264,1200.9375,4.6
116,0.07733607292175293,854,480,25.0,h264,2401.875,4.64
117,0.043817996978759766,854,480,25.0,h264,1200.9375,4.68
118,0.041562795639038086,854,480,25.0,h264,1200.9375,4.72
119,0.07648420333862305,854,480,25.0,h264,2401.875,4.76
120,0.07841205596923828,854,480,25.0,h264,2401.875,4.8
121,0.04115581512451172,854,480,25.0,h264,1200.9375,4.84
122,0.04520225524902344,854,480,25.0,h264,1200.9375,4.88
123,0.07559680938720703,854,480,25.0,h264,2401.875,4.92
124,0.04346799850463867,854,480,25.0,h264,1200.9375,4.96
125,0.041700124740600586,854,480,25.0,h264,1200.9375,5.0
126,0.04385876655578613,854,480,25.0,h264,1200.9375,5.04
127,0.06969904899597168,854,480,25.0,h264,2401.875,5.08
128,0.040000200271606445,854,480,25.0,h264,1532.380859375,5.12
129,0.04079794883728027,854,480,25.0,h264,869.494140625,5.16
130,0.04245495796203613,854,480,25.0,h264,1200.9375,5.2
131,0.05010414123535156,854,480,25.0,h264,1200.9375,5.24
132,0.06788277626037598,854,480,25.0,h264,2401.875,5.28
133,0.04291105270385742,854,480,25.0,h264,1200.9375,5.32
134,0.040863037109375,854,480,25.0,h264,1200.9375,5.36
135,0.07303595542907715,854,480,25.0,h264,2401.875,5.4
136,0.04449295997619629,854,480,25.0,h264,1200.9375,5.44
137,0.043203115463256836,854,480,25.0,h264,1199.1728515625,5.48
138,0.07767891883850098,854,480,25.0,h264,2401.875,5.52
139,0.04115581512451172,854,480,25.0,h264,1200.9375,5.56
140,0.07395219802856445,854,480,25.0,h264,2403.6396484375,5.6
141,0.06049609184265137,854,480,25.0,h264,1200.9375,5.64
142,0.06589579582214355,854,480,25.0,h264,2400.1103515625,5.68
143,0.07959294319152832,854,480,25.0,h264,2401.875,5.72
144,0.04975533485412598,854,480,25.0,h264,1200.9375,5.76
145,0.07775473594665527,854,480,25.0,h264,2401.875,5.8
146,0.0686788558959961,854,480,25.0,h264,2401.875,5.84
147,0.04065203666687012,854,480,25.0,h264,1200.9375,5.88
148,0.04346013069152832,854,480,25.0,h264,1200.9375,5.92
149,0.040817975997924805,854,480,25.0,h264,1200.9375,5.96
150,0.08022308349609375,854,480,25.0,h264,2401.875,6.0
151,0.07422995567321777,854,480,25.0,h264,2401.875,6.04
152,0.044270992279052734,854,480,25.0,h264,1200.9375,6.08
153,0.0774540901184082,854,480,25.0,h264,2401.875,6.12
154,0.10306215286254883,854,480,25.0,h264,1200.9375,6.16
155,0.05263781547546387,854,480,25.0,h264,3602.8125,6.2
156,0.043476104736328125,854,480,25.0,h264,1200.9375,6.24
157,0.04311490058898926,854,480,25.0,h264,1200.9375,6.28
158,0.0751791000366211,854,480,25.0,h264,2401.875,6.32
159,0.041774749755859375,854,480,25.0,h264,1200.9375,6.36
160,0.04211091995239258,854,480,25.0,h264,1200.9375,6.4
161,0.04300212860107422,854,480,25.0,h264,1200.9375,6.44
162,0.07663512229919434,854,480,25.0,h264,2401.875,6.48
163,0.04075884819030762,854,480,25.0,h264,1200.9375,6.52
164,0.07553505897521973,854,480,25.0,h264,2403.2109375,6.56
165,0.041300058364868164,854,480,25.0,h264,1200.9375,6.6
166,0.044583797454833984,854,480,25.0,h264,1200.9375,6.64
167,0.07777619361877441,854,480,25.0,h264,2401.875,6.68
168,0.04285383224487305,854,480,25.0,h264,1200.9375,6.72
169,0.07561016082763672,854,480,25.0,h264,2401.875,6.76
170,0.04017996788024902,854,480,25.0,h264,1200.9375,6.8
171,0.07900810241699219,854,480,25.0,h264,2401.875,6.84
172,0.04285097122192383,854,480,25.0,h264,1200.9375,6.88
173,0.04221916198730469,854,480,25.0,h264,1200.9375,6.92
174,0.04074382781982422,854,480,25.0,h264,1200.9375,6.96
175,0.07606983184814453,854,480,25.0,h264,2401.875,7.0
176,0.08766794204711914,854,480,25.0,h264,2401.875,7.04
177,0.06647014617919922,854,480,25.0,h264,2401.875,7.08
178,0.046621084213256836,854,480,25.0,h264,1200.9375,7.12
179,0.04171395301818848,854,480,25.0,h264,1200.9375,7.16
180,0.09081006050109863,854,480,25.0,h264,2401.875,7.2
181,0.06539487838745117,854,480,25.0,h264,2401.875,7.24
182,0.041155099868774414,854,480,25.0,h264,1200.9375,7.28
183,0.07668876647949219,854,480,25.0,h264,2401.875,7.32
184,0.04413723945617676,854,480,25.0,h264,1200.9375,7.36
185,0.04142498970031738,854,480,25.0,h264,1200.9375,7.4
186,0.04059910774230957,854,480,25.0,h264,1200.9375,7.44
187,0.08420300483703613,854,480,25.0,h264,2401.875,7.48
188,0.07079386711120605,854,480,25.0,h264,2401.875,7.52
189,0.045042991638183594,854,480,25.0,h264,1200.9375,7.56
190,0.04000401496887207,854,480,25.0,h264,1228.9072265625,7.6
191,0.07213711738586426,854,480,25.0,h264,2373.9052734375,7.64
192,0.04545402526855469,854,480,25.0,h264,1200.9375,7.68
193,0.04397082328796387,854,480,25.0,h264,1200.9375,7.72
194,0.0788431167602539,854,480,25.0,h264,2401.875,7.76
195,0.07883095741271973,854,480,25.0,h264,2401.875,7.8
196,0.04468488693237305,854,480,25.0,h264,1200.9375,7.84
197,0.07516312599182129,854,480,25.0,h264,2401.875,7.88
198,0.04000091552734375,854,480,25.0,h264,1200.9375,7.92
199,0.08864998817443848,854,480,25.0,h264,2401.875,7.96
200,0.07839393615722656,854,480,25.0,h264,2401.875,8.0
201,0.06848907470703125,854,480,25.0,h264,2401.875,8.04
202,0.04314708709716797,854,480,25.0,h264,1200.9375,8.08
203,0.04349088668823242,854,480,25.0,h264,1200.9375,8.12
204,0.07762908935546875,854,480,25.0,h264,2401.875,8.16
205,0.04147195816040039,854,480,25.0,h264,1200.1845703125,8.2
206,0.07498908042907715,854,480,25.0,h264,2401.875,8.24
207,0.04482674598693848,854,480,25.0,h264,1200.9375,8.28
208,0.04152703285217285,854,480,25.0,h264,1200.9375,8.32
209,0.05151629447937012,854,480,25.0,h264,1200.9375,8.36
210,0.0691976547241211,854,480,25.0,h264,2401.875,8.4
211,0.07007718086242676,854,480,25.0,h264,2401.875,8.44
212,0.044007062911987305,854,480,25.0,h264,1200.9375,8.48
213,0.04391288757324219,854,480,25.0,h264,1200.9375,8.52
214,0.04000687599182129,854,480,25.0,h264,2275.6640625,8.56
215,0.04541015625,854,480,25.0,h264,126.2109375,8.6
216,0.07453417778015137,854,480,25.0,h264,2401.875,8.64
217,0.07354378700256348,854,480,25.0,h264,2401.875,8.68
218,0.04357719421386719,854,480,25.0,h264,1200.9375,8.72
219,0.0752718448638916,854,480,25.0,h264,2401.875,8.76
220,0.044764041900634766,854,480,25.0,h264,1200.9375,8.8
221,0.04289412498474121,854,480,25.0,h264,1200.9375,8.84
222,0.07788205146789551,854,480,25.0,h264,2401.875,8.88
223,0.04200387001037598,854,480,25.0,h264,1200.9375,8.92
224,0.07423996925354004,854,480,25.0,h264,2401.875,8.96
225,0.045461177825927734,854,480,25.0,h264,1200.9375,9.0
226,0.07845783233642578,854,480,25.0,h264,2401.875,9.04
227,0.04320192337036133,854,480,25.0,h264,1200.9375,9.08
228,0.040103912353515625,854,480,25.0,h264,1200.9375,9.12
229,0.0727081298828125,854,480,25.0,h264,2401.875,9.16
230,0.045134782791137695,854,480,25.0,h264,1200.9375,9.2
231,0.07513809204101562,854,480,25.0,h264,2401.875,9.24
232,0.04446101188659668,854,480,25.0,h264,1200.9375,9.28
233,0.07401514053344727,854,480,25.0,h264,2401.875,9.32
234,0.04520106315612793,854,480,25.0,h264,1200.9375,9.36
235,0.08043813705444336,854,480,25.0,h264,2401.875,9.4
236,0.04110884666442871,854,480,25.0,h264,1200.9375,9.44
237,0.07572793960571289,854,480,25.0,h264,2401.875,9.48
238,0.044023990631103516,854,480,25.0,h264,1200.9375,9.52
239,0.07527494430541992,854,480,25.0,h264,2401.875,9.56
240,0.04557013511657715,854,480,25.0,h264,1200.9375,9.6
241,0.08458995819091797,854,480,25.0,h264,2401.875,9.64
242,0.07038187980651855,854,480,25.0,h264,2401.875,9.68
243,0.04366707801818848,854,480,25.0,h264,1200.9375,9.72
244,0.0786280632019043,854,480,25.0,h264,2401.875,9.76
245,0.043203115463256836,854,480,25.0,h264,1200.9375,9.8
246,0.07804179191589355,854,480,25.0,h264,2401.875,9.84
247,0.0793769359588623,854,480,25.0,h264,2401.875,9.88
248,0.04028892517089844,854,480,25.0,h264,1200.9375,9.92
249,0.08026814460754395,854,480,25.0,h264,2401.875,9.96
