Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Время видео
0,1.2019917964935303,960,540,25.0,h264,0.140625,2024-04-13 14:01:37
1,0.04563307762145996,960,540,25.0,h264,2632.0810546875,2024-04-13 14:01:38
2,0.06618714332580566,960,540,25.0,h264,14074.1689453125,2024-04-13 14:01:38
3,0.04457378387451172,960,540,25.0,h264,1518.75,2024-04-13 14:01:38
4,0.04316902160644531,960,540,25.0,h264,1518.75,2024-04-13 14:01:38
5,0.07682299613952637,960,540,25.0,h264,3037.5,2024-04-13 14:01:38
6,0.044332027435302734,960,540,25.0,h264,1518.75,2024-04-13 14:01:38
7,0.040000200271606445,960,540,25.0,h264,1663.416015625,2024-04-13 14:01:38
8,0.07523393630981445,960,540,25.0,h264,2892.833984375,2024-04-13 14:01:38
9,0.0431361198425293,960,540,25.0,h264,1518.75,2024-04-13 14:01:38
10,0.07333087921142578,960,540,25.0,h264,3037.5,2024-04-13 14:01:38
11,0.04266810417175293,960,540,25.0,h264,1518.75,2024-04-13 14:01:38
12,0.04165983200073242,960,540,25.0,h264,1518.75,2024-04-13 14:01:38
13,0.04616904258728027,960,540,25.0,h264,1518.75,2024-04-13 14:01:38
14,0.07506895065307617,960,540,25.0,h264,3037.5,2024-04-13 14:01:38
15,0.07798194885253906,960,540,25.0,h264,3037.5,2024-04-13 14:01:38
16,0.04148507118225098,960,540,25.0,h264,1518.75,2024-04-13 14:01:38
17,0.04000210762023926,960,540,25.0,h264,2679.9775390625,2024-04-13 14:01:38
18,0.04000091552734375,960,540,25.0,h264,521.87109375,2024-04-13 14:01:38
19,0.04161524772644043,960,540,25.0,h264,1354.4013671875,2024-04-13 14:01:38
20,0.07621359825134277,960,540,25.0,h264,3037.5,2024-04-13 14:01:39
21,0.046131134033203125,960,540,25.0,h264,1518.75,2024-04-13 14:01:39
22,0.07103490829467773,960,540,25.0,h264,3037.5,2024-04-13 14:01:39
23,0.04076504707336426,960,540,25.0,h264,1518.75,2024-04-13 14:01:39
24,0.04131293296813965,960,540,25.0,h264,1518.75,2024-04-13 14:01:39
25,0.08107590675354004,960,540,25.0,h264,3037.5,2024-04-13 14:01:39
26,0.041074275970458984,960,540,25.0,h264,1518.75,2024-04-13 14:01:39
27,0.041869163513183594,960,540,25.0,h264,1518.75,2024-04-13 14:01:39
28,0.08409285545349121,960,540,25.0,h264,3037.5,2024-04-13 14:01:39
29,0.07690691947937012,960,540,25.0,h264,3037.5,2024-04-13 14:01:39
30,0.07824897766113281,960,540,25.0,h264,3037.5,2024-04-13 14:01:39
31,0.07585000991821289,960,540,25.0,h264,3037.5,2024-04-13 14:01:39
32,0.04615616798400879,960,540,25.0,h264,1518.75,2024-04-13 14:01:39
33,0.04000091552734375,960,540,25.0,h264,1629.6552734375,2024-04-13 14:01:39
34,0.07320713996887207,960,540,25.0,h264,2926.5947265625,2024-04-13 14:01:39
35,0.04317283630371094,960,540,25.0,h264,1518.75,2024-04-13 14:01:39
36,0.04411005973815918,960,540,25.0,h264,1518.75,2024-04-13 14:01:39
37,0.07327008247375488,960,540,25.0,h264,3037.5,2024-04-13 14:01:40
38,0.04724764823913574,960,540,25.0,h264,1518.75,2024-04-13 14:01:40
39,0.07439422607421875,960,540,25.0,h264,3037.5,2024-04-13 14:01:40
40,0.04242992401123047,960,540,25.0,h264,1518.75,2024-04-13 14:01:40
41,0.05184578895568848,960,540,25.0,h264,1518.75,2024-04-13 14:01:40
42,0.06723141670227051,960,540,25.0,h264,3037.5,2024-04-13 14:01:40
43,0.04245471954345703,960,540,25.0,h264,1518.75,2024-04-13 14:01:40
44,0.04013991355895996,960,540,25.0,h264,1519.75,2024-04-13 14:01:40
45,0.040000200271606445,960,540,25.0,h264,1586.4404296875,2024-04-13 14:01:40
46,0.07753801345825195,960,540,25.0,h264,2968.9033203125,2024-04-13 14:01:40
47,0.04181694984436035,960,540,25.0,h264,1518.75,2024-04-13 14:01:40
48,0.07648396492004395,960,540,25.0,h264,3037.4833984375,2024-04-13 14:01:40
49,0.08153486251831055,960,540,25.0,h264,3037.5,2024-04-13 14:01:40
50,0.04219222068786621,960,540,25.0,h264,1518.75,2024-04-13 14:01:40
51,0.04713702201843262,960,540,25.0,h264,304.697265625,2024-04-13 14:01:40
