Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Время видео
0,1.209683895111084,960,540,25.0,h264,0.140625,2024-04-13 07:55:02
1,0.0401301383972168,960,540,25.0,h264,9111.8203125,2024-04-13 07:55:02
2,0.040582895278930664,960,540,25.0,h264,7594.4296875,2024-04-13 07:55:02
3,0.07829976081848145,960,540,25.0,h264,3037.5,2024-04-13 07:55:02
4,0.04000115394592285,960,540,25.0,h264,1694.3447265625,2024-04-13 07:55:02
5,0.04523897171020508,960,540,25.0,h264,1343.1552734375,2024-04-13 07:55:02
6,0.07735610008239746,960,540,25.0,h264,3037.5,2024-04-13 07:55:02
7,0.07821369171142578,960,540,25.0,h264,3037.5,2024-04-13 07:55:02
8,0.07744216918945312,960,540,25.0,h264,3037.5,2024-04-13 07:55:02
9,0.04271197319030762,960,540,25.0,h264,1518.75,2024-04-13 07:55:02
10,0.08096909523010254,960,540,25.0,h264,3037.5,2024-04-13 07:55:02
11,0.08355498313903809,960,540,25.0,h264,3037.5,2024-04-13 07:55:02
12,0.07300090789794922,960,540,25.0,h264,3037.5,2024-04-13 07:55:03
13,0.04311013221740723,960,540,25.0,h264,1518.75,2024-04-13 07:55:03
14,0.07751202583312988,960,540,25.0,h264,3037.5,2024-04-13 07:55:03
15,0.04131197929382324,960,540,25.0,h264,1518.75,2024-04-13 07:55:03
16,0.04195904731750488,960,540,25.0,h264,1518.75,2024-04-13 07:55:03
17,0.07822895050048828,960,540,25.0,h264,3037.5,2024-04-13 07:55:03
18,0.04274702072143555,960,540,25.0,h264,1518.75,2024-04-13 07:55:03
19,0.07706713676452637,960,540,25.0,h264,3037.5,2024-04-13 07:55:03
20,0.0758657455444336,960,540,25.0,h264,3037.5,2024-04-13 07:55:03
21,0.08262515068054199,960,540,25.0,h264,3037.5,2024-04-13 07:55:03
22,0.04075884819030762,960,540,25.0,h264,1518.75,2024-04-13 07:55:03
23,0.0423281192779541,960,540,25.0,h264,1518.75,2024-04-13 07:55:03
24,0.07686781883239746,960,540,25.0,h264,3037.5,2024-04-13 07:55:03
25,0.042525291442871094,960,540,25.0,h264,1518.75,2024-04-13 07:55:03
26,0.041699886322021484,960,540,25.0,h264,1518.75,2024-04-13 07:55:03
27,0.07677412033081055,960,540,25.0,h264,3037.5,2024-04-13 07:55:03
28,0.04244565963745117,960,540,25.0,h264,1518.75,2024-04-13 07:55:03
29,0.07506012916564941,960,540,25.0,h264,3037.5,2024-04-13 07:55:04
30,0.043847084045410156,960,540,25.0,h264,1518.75,2024-04-13 07:55:04
31,0.0417180061340332,960,540,25.0,h264,1518.75,2024-04-13 07:55:04
32,0.04000115394592285,960,540,25.0,h264,2360.603515625,2024-04-13 07:55:04
33,0.07483482360839844,960,540,25.0,h264,2195.646484375,2024-04-13 07:55:04
34,0.0761101245880127,960,540,25.0,h264,3037.5,2024-04-13 07:55:04
35,0.0459446907043457,960,540,25.0,h264,1518.75,2024-04-13 07:55:04
36,0.0759119987487793,960,540,25.0,h264,3037.5,2024-04-13 07:55:04
37,0.04808616638183594,960,540,25.0,h264,1518.75,2024-04-13 07:55:04
38,0.07653689384460449,960,540,25.0,h264,3037.5,2024-04-13 07:55:04
