Шаг,Время,Ширина,Высота,Частота кадров,Кодек,Битрейт (КБ/сек),Время видео,day,month,hour_min,loss,anomaly
0.0,1.209683895111084,960.0,540.0,25.0,h264,0.140625,2024-04-13 07:55:02,13,4,7.916666666666667,0.4575745,True
1.0,0.0401301383972168,960.0,540.0,25.0,h264,9111.8203125,2024-04-13 07:55:02,13,4,7.916666666666667,0.0084222285,True
2.0,0.04058289527893061,960.0,540.0,25.0,h264,7594.4296875,2024-04-13 07:55:02,13,4,7.916666666666667,0.00563234,True
3.0,0.0782997608184814,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:02,13,4,7.916666666666667,0.0013354025,False
4.0,0.0400011539459228,960.0,540.0,25.0,h264,1694.3447265625,2024-04-13 07:55:02,13,4,7.916666666666667,0.0006676814,False
5.0,0.045238971710205,960.0,540.0,25.0,h264,1343.1552734375,2024-04-13 07:55:02,13,4,7.916666666666667,0.0012075327,False
6.0,0.0773561000823974,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:02,13,4,7.916666666666667,0.0013101195,False
7.0,0.0782136917114257,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:02,13,4,7.916666666666667,0.0013308784,False
8.0,0.0774421691894531,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:02,13,4,7.916666666666667,0.0013109819,False
9.0,0.0427119731903076,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:02,13,4,7.916666666666667,0.00074748124,False
9.999999999999545,0.0809690952301025,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:02,13,4,7.916666666666667,0.0014160192,False
11.0,0.083554983139038,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:02,13,4,7.916666666666667,0.0015358682,False
12.0,0.0730009078979492,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:03,13,4,7.916666666666667,0.0012113261,False
13.0,0.0431101322174072,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:03,13,4,7.916666666666667,0.000736992,False
14.0,0.0775120258331298,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:03,13,4,7.916666666666667,0.0013092803,False
15.0,0.0413119792938232,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:03,13,4,7.916666666666667,0.0008012211,False
16.0,0.0419590473175048,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:03,13,4,7.916666666666667,0.0007730635,False
17.0,0.0782289505004882,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:03,13,4,7.916666666666667,0.0013257256,False
18.0,0.0427470207214355,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:03,13,4,7.916666666666667,0.0007449727,False
19.0,0.0770671367645263,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:03,13,4,7.916666666666667,0.001296438,False
20.0,0.0758657455444336,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:03,13,4,7.916666666666667,0.0012700304,False
20.999999999999545,0.0826251506805419,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:03,13,4,7.916666666666667,0.0014866358,False
22.0,0.0407588481903076,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:03,13,4,7.916666666666667,0.00082757836,False
23.0,0.0423281192779541,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:03,13,4,7.916666666666667,0.0007577834,False
24.0,0.0768678188323974,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:03,13,4,7.916666666666667,0.0012897546,False
25.0,0.042525291442871,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:03,13,4,7.916666666666667,0.0007505381,False
26.0,0.0416998863220214,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:03,13,4,7.916666666666667,0.0007821861,False
27.0,0.0767741203308105,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:03,13,4,7.916666666666667,0.0012864333,False
27.999999999999545,0.0424456596374511,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:03,13,4,7.916666666666667,0.0007527896,False
29.0,0.0750601291656494,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:04,13,4,7.916666666666667,0.0012482449,False
30.0,0.0438470840454101,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:04,13,4,7.916666666666667,0.00072047504,False
31.0,0.0417180061340332,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:04,13,4,7.916666666666667,0.0007806859,False
31.999999999999545,0.0400011539459228,960.0,540.0,25.0,h264,2360.603515625,2024-04-13 07:55:04,13,4,7.916666666666667,0.0008196285,False
33.0,0.0748348236083984,960.0,540.0,25.0,h264,2195.646484375,2024-04-13 07:55:04,13,4,7.916666666666667,0.00064782833,False
34.0,0.0761101245880127,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:04,13,4,7.916666666666667,0.0012692059,False
35.0,0.0459446907043457,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:04,13,4,7.916666666666667,0.0007089207,False
36.0,0.0759119987487793,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:04,13,4,7.916666666666667,0.0012633025,False
37.0,0.0480861663818359,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:04,13,4,7.916666666666667,0.0007215368,False
38.0,0.0765368938446044,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:04,13,4,7.916666666666667,0.0012766588,False
38.999999999999545,0.0754621028900146,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:04,13,4,7.916666666666667,0.0012516112,False
40.0,0.0470077991485595,960.0,540.0,25.0,h264,1519.75,2024-04-13 07:55:04,13,4,7.916666666666667,0.00070783496,False
41.0,0.0400002002716064,960.0,540.0,25.0,h264,1642.7177734375,2024-04-13 07:55:04,13,4,7.916666666666667,0.00069019815,False
42.0,0.0699281692504882,960.0,540.0,25.0,h264,2912.6259765625,2024-04-13 07:55:04,13,4,7.916666666666667,0.00076855544,False
42.999999999999545,0.0447406768798828,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:04,13,4,7.916666666666667,0.0007119769,False
44.0,0.0454161167144775,960.0,540.0,25.0,h264,1518.7392578125,2024-04-13 07:55:04,13,4,7.916666666666667,0.0007090729,False
45.0,0.0759110450744628,960.0,540.0,25.0,h264,3037.494140625,2024-04-13 07:55:04,13,4,7.916666666666667,0.001258947,False
46.0,0.0456199645996093,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:05,13,4,7.916666666666667,0.0007076019,False
47.0,0.074625015258789,960.0,540.0,25.0,h264,3037.5078125,2024-04-13 07:55:05,13,4,7.916666666666667,0.0012322473,False
48.0,0.0797460079193115,960.0,540.0,25.0,h264,3037.486328125,2024-04-13 07:55:05,13,4,7.916666666666667,0.0013548469,False
49.0,0.0804848670959472,960.0,540.0,25.0,h264,3037.5107421875,2024-04-13 07:55:05,13,4,7.916666666666667,0.0013800263,False
49.999999999999545,0.0462782382965087,960.0,540.0,25.0,h264,1518.744140625,2024-04-13 07:55:05,13,4,7.916666666666667,0.0007056679,False
51.0,0.0751619338989257,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:05,13,4,7.916666666666667,0.001239918,False
52.0,0.0402438640594482,960.0,540.0,25.0,h264,3036.7353515625,2024-04-13 07:55:05,13,4,7.916666666666667,0.002032814,False
53.0,0.0400021076202392,960.0,540.0,25.0,h264,65.59082031249955,2024-04-13 07:55:05,13,4,7.916666666666667,0.0033725584,False
53.999999999999545,0.0401620864868164,960.0,540.0,25.0,h264,1453.935546875,2024-04-13 07:55:05,13,4,7.916666666666667,0.0009973162,False
55.0,0.0775649547576904,960.0,540.0,25.0,h264,3037.6591796875,2024-04-13 07:55:05,13,4,7.916666666666667,0.0012896969,False
56.0,0.0445568561553955,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:05,13,4,7.916666666666667,0.0007123982,False
57.0,0.0762000083923339,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:05,13,4,7.916666666666667,0.001260588,False
58.0,0.0456619262695312,960.0,540.0,25.0,h264,1518.7470703125,2024-04-13 07:55:05,13,4,7.916666666666667,0.0007048925,False
59.0,0.0749061107635498,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:05,13,4,7.916666666666667,0.0012314488,False
60.0,0.0452730655670166,960.0,540.0,25.0,h264,1518.7529296875,2024-04-13 07:55:05,13,4,7.916666666666667,0.00070687186,False
60.999999999999545,0.0400011539459228,960.0,540.0,25.0,h264,2370.029296875,2024-04-13 07:55:05,13,4,7.916666666666667,0.00081480504,False
62.0,0.0406527519226074,960.0,540.0,25.0,h264,667.470703125,2024-04-13 07:55:05,13,4,7.916666666666667,0.00159537,False
63.0,0.0766761302947998,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:06,13,4,7.916666666666667,0.0012668509,False
64.0,0.0413999557495117,960.0,540.0,25.0,h264,1518.7470703125,2024-04-13 07:55:06,13,4,7.916666666666667,0.000789649,False
65.0,0.0682928562164306,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:06,13,4,7.916666666666667,0.0011539969,False
66.0,0.0446321964263916,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:06,13,4,7.916666666666667,0.0007108782,False
67.0,0.0433390140533447,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:06,13,4,7.916666666666667,0.0007265747,False
68.0,0.0400018692016601,960.0,540.0,25.0,h264,2462.697265625,2024-04-13 07:55:06,13,4,7.916666666666667,0.00082722434,False
69.0,0.0400550365447998,960.0,540.0,25.0,h264,574.8027343750002,2024-04-13 07:55:06,13,4,7.916666666666667,0.0017731895,False
70.0,0.050649881362915,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:06,13,4,7.916666666666667,0.0007750951,False
71.0,0.0700390338897705,960.0,540.0,25.0,h264,3037.3671875,2024-04-13 07:55:06,13,4,7.916666666666667,0.0011490987,False
71.99999999999955,0.0752670764923095,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:06,13,4,7.916666666666667,0.0012325565,False
73.0,0.0424888134002685,960.0,540.0,25.0,h264,1518.75,2024-04-13 07:55:06,13,4,7.916666666666667,0.0007468057,False
74.0,0.0401961803436279,960.0,540.0,25.0,h264,1518.7490234375,2024-04-13 07:55:06,13,4,7.916666666666667,0.0008508961,False
75.0,0.0402619838714599,960.0,540.0,25.0,h264,3036.70703125,2024-04-13 07:55:06,13,4,7.916666666666667,0.0020363296,False
76.0,0.0400009155273437,960.0,540.0,25.0,h264,165.0390625,2024-04-13 07:55:06,13,4,7.916666666666667,0.002901357,False
77.0,0.0408141613006591,960.0,540.0,25.0,h264,1354.5068359375,2024-04-13 07:55:06,13,4,7.916666666666667,0.0012079652,False
78.0,0.040485143661499,960.0,540.0,25.0,h264,1518.7490234375,2024-04-13 07:55:06,13,4,7.916666666666667,0.00083380035,False
79.0,0.0408298969268798,960.0,540.0,25.0,h264,1519.6591796875,2024-04-13 07:55:06,13,4,7.916666666666667,0.0008142066,False
80.0,0.0737648010253906,960.0,540.0,25.0,h264,3036.6103515625,2024-04-13 07:55:06,13,4,7.916666666666667,0.0012007437,False
81.0,0.0459980964660644,960.0,540.0,25.0,h264,1518.865234375,2024-04-13 07:55:06,13,4,7.916666666666667,0.00069913076,False
82.0,0.0743660926818847,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:06,13,4,7.916666666666667,0.0012142449,False
82.99999999999955,0.0417208671569824,960.0,540.0,25.0,h264,1518.640625,2024-04-13 07:55:07,13,4,7.916666666666667,0.0007751293,False
84.0,0.0476691722869873,960.0,540.0,25.0,h264,1518.7451171875,2024-04-13 07:55:07,13,4,7.916666666666667,0.0007112344,False
85.0,0.0728168487548828,960.0,540.0,25.0,h264,3037.6142578125,2024-04-13 07:55:07,13,4,7.916666666666667,0.0011807092,False
86.0,0.044213056564331,960.0,540.0,25.0,h264,1519.51953125,2024-04-13 07:55:07,13,4,7.916666666666667,0.00071056234,False
87.0,0.0779979228973388,960.0,540.0,25.0,h264,3036.61328125,2024-04-13 07:55:07,13,4,7.916666666666667,0.0012813003,False
88.0,0.0422489643096923,960.0,540.0,25.0,h264,1518.7578125,2024-04-13 07:55:07,13,4,7.916666666666667,0.000754558,False
89.0,0.0853011608123779,960.0,540.0,25.0,h264,3037.5,2024-04-13 07:55:07,13,4,7.916666666666667,0.0016161101,False
90.0,0.0403239727020263,960.0,540.0,25.0,h264,3036.6796875,2024-04-13 07:55:07,13,4,7.916666666666667,0.0020341305,False
